model_id,V1,V2,V3,V4,V5
M_001,0.7508,0.6689,0.8507,0.8663,0.7306
M_002,0.6515,0.6658,0.612,0.6472,0.6326
M_003,0.7122,0.7298,0.7266,0.7319,0.598
M_004,0.7699,0.8787,0.7186,0.7186,0.8473
M_005,0.7394,0.8063,0.7427,0.6705,0.8938
M_006,0.6537,0.6823,0.6301,0.6617,0.5606
M_007,0.7273,0.8443,0.2814,0.2717,0.8463
M_008,0.8906,0.7955,0.449,0.6583,0.8201
M_009,0.8618,0.8106,0.5278,0.6852,0.8319
M_010,0.665,0.5909,0.8356,0.8742,0.5543
M_011,0.837,0.8058,0.8193,0.743,0.7979
M_012,0.7229,0.6128,0.4079,0.2967,0.7589
M_013,0.8243,0.8751,0.5884,0.7075,0.8905
M_014,0.7918,0.774,0.9027,0.929,0.9042
M_015,0.8988,0.7811,0.6757,0.7237,0.9224
M_016,0.6734,0.5921,0.7186,0.5441,0.6635
M_017,0.8865,0.9116,0.7282,0.8209,1.0
M_018,0.9535,1.0,0.7099,0.7554,1.0
M_019,0.7438,0.9035,0.5861,0.4751,0.8816
M_020,0.7147,0.9478,0.3446,0.2975,0.8105
M_021,0.8789,0.912,0.7686,0.795,0.9001
M_022,0.8096,0.7304,0.766,0.7712,0.7212
M_023,0.7719,0.6014,0.5214,0.4922,0.7559
M_024,0.9563,0.9777,0.8841,0.8738,0.8845
M_025,0.6706,0.6056,0.1866,0.2,0.6929
M_026,0.8423,0.8091,0.1989,0.2141,0.8124
M_027,0.8821,0.8332,0.3723,0.5194,0.9396
M_028,0.817,0.8057,0.5471,0.2904,0.8639
M_029,0.777,0.8622,0.6562,0.6325,0.947
M_030,0.6389,0.6515,0.5962,0.6138,0.6963
